年	イヤー
學習	学問
學習	学ぶ
動	移動
動	ムーブ
樂團	バンド
樂團	オーケストラ
那些	それら
材料	材料
材料	マテリアル
材料	素材
以後	後で
士兵	兵隊
士兵	兵士
容易	簡単
容易	易しい
容易	イージー
容易	やさしい
魔法	マジック
魔法	魔法
彼得	ピーター
彼得	ペーター
大阪	大阪
茶	お茶
茶	紅茶
孩子	子供
孩子	児童
代理	代理人
代理	演技
代理	エージェント
組合	混ぜる
組合	コンビネーション
組合	ミックス
組合	組み合わせ
正常	ノーマル
正常	普通
北京市	北京市
北京市	北京
王子	プリンス
模型	モデル
夜	ナイト
夜	ナイツ
乘客	旅客
乘客	乗客
錦標賽	選手権
錦標賽	チャンピオンシップ
錦標賽	トーナメント
禁止	禁酒
禁止	禁酒令
禁止	禁止
重播	リプレイ
重播	再生
宣傳	宣伝
宣傳	プロパガンダ
宣傳	広報
巨大	巨大
同樣	同じく
蛇	ヘビ
紫	バイオレット
紫	パープル
週	週間
完整	完備
完整	フル
完整	いっぱい
完整	コンプリート
上市	上場
上市	出品
德里	デリー
森林	フォレスト
森林	森林
介紹	プレゼンテーション
介紹	プレゼン
白色	白い
白色	ホワイト
晚上	ナイト
晚上	夕方
國王	国王
國王	キング
改變	変化
改變	チェンジ
改變	変更
廣場	正方形
廣場	プラザ
廣場	広場
廣場	四角
市民	市民
樹	樹木
樹	ツリー
大西洋	アトランティック
大西洋	大西洋
聯邦	連盟
聯邦	連邦
土耳其	トルコ
土耳其	七面鳥
酸	すっぱい
酸	サワー
酸	酸っぱい
董事	取締役
外交	外交
夫人	マダム
公斤	キログラム
公斤	キロ
效果	エフェクト
效果	効果
說明	説明
說明	解説
資格	資格
連續	連続
晚	遅い
輪	丸い
輪	ホイール
輪	車輪
輪	ラウンド
記錄	レコーディング
記錄	録音
記錄	記録
記錄	レコード
作戰	戦闘
寫	執筆
寫	筆記
寫	書き込む
寫	書き込み
寫	書く
鹿	シカ
地理	地理
姜	ジンジャー
姜	カン
姜	ショウガ
姜	生姜
最近	最近
咸	塩辛い
網頁	ウェブサイト
秘密	秘密
變	変化
變	チェンジ
變	変更
開放	オープン
開放	開館
開放	開く
主持人	司会
主持人	主催
主持人	ホスト
移民	入国
移民	移民
移民	移住
移民	移行
運輸	輸送
運輸	交通
背	戻る
背	背中
背	後ろ
背	裏側
大小	サイズ
演唱會	コンサート
錫	スズ
習性	習慣
頂	トップ
頂	上部
柏林	ベルリン
三個	スリー
三個	三人
今天	トゥデイ
今天	今日
符	お守り
親	キス
親	接吻
兒子	息子
加州	カリフォルニア
人口普查	国勢調査
戰役	合戦
戰役	戦い
戰役	戦闘
戰役	バトル
電台	ラジオ
墓	墓所
墓	墓穴
北方	北部
北方	北方
北方	ノーザン
北方	ノース
活躍	アクティブ
星期一	月曜
星期一	月曜日
首播	プレミア
首播	初演
業務	ビジネス
業務	事業
業務	営業
射	シュート
前身	先駆け
前身	前身
啟	カイ
極	きわめて
極	極めて
野	野生
野	ワイルド
投資	投資
海洋	大洋
類型	タイプ
類型	種類
類型	ジャンル
機會	チャンス
機會	好機
機會	機会
錯誤	エラー
錯誤	間違い
總部	本部
總部	本社
總部	司令部
健康	ヘルシー
健康	健康
股	ユニット
股	単位
身高	身長
熱	ホット
熱	ヒート
熱	暑い
熱	熱い
空中	空気
空中	エア
空中	航空
輕	明るい
輕	軽い
輕	ライト
輕	ライター
經常	レギュラー
經常	頻繁
經常	しばしば
臺	テラス
臺	棚田
滿	フル
滿	いっぱい
負	ネガ
負	マイナス
負	ネガティブ
亨利	ヘンリー
交易	ディール
交易	取引
交易	クーポン
交易	トランザクション
黑色	ブラック
黑色	黒い
爆炸	爆発
各種	盛り合わせ
警方	警察
警方	警察官
警方	ポリス
尹	ユン
能量	エネルギー
酒	アルコール
酒	ワイン
地面	曲面
地面	地面
地面	表面
地面	グラウンド
太平	太平
普遍	ユニバーサル
然後	それから
鬼	幽霊
鬼	ゴースト
鬼	お化け
鼠	ラット
鼠	ネズミ
鼠	ねずみ
鼠	マウス
俄	ロシア
山西	山西省
南極洲	南極大陸
南極洲	南極
小型	スモール
小型	小さい
小型	小さな
退出	辞める
退出	出口
退出	終了
以色列	イスラエル
兒童	子供
兒童	児童
一切	全て
一切	すべて
東部	イースト
東部	東部
逐漸	徐々に
博物館	美術館
博物館	博物館
固定	固定された
固定	停滞
固定	固定
對話	台詞
對話	スレッド
對話	会話
琴	バイオリン
琴	ヴァイオリン
階段	ステージ
階段	フェーズ
階段	舞台
階段	位相
江西	江西省
游	競泳
游	泳ぐ
游	泳ぎ
游	水泳
游	スイミング
游	ツアー
病	疾病
病	疾患
病	病気
問	尋ねる
翡翠	ヒスイ
維持	整備
維持	メンテナンス
格式	書式
格式	整形
格式	フォーマット
事故	アクシデント
事故	事故
臺北	台北市
臺北	台北
互	相互
藝人	芸人
藝人	芸能人
藝人	芸術家
藝人	タレント
藝人	興行
藝人	アーティスト
天使	エンジェルス
天使	エンジェル
天使	天使
表面	曲面
表面	表面
池	プール
圖片	イメージ
圖片	写真
圖片	画像
建設	建設
風暴	ストーム
定義	定義
步兵	歩兵
指定	指定
解決	解決
解決	解消
熊	クマ
休	ヒュー
火箭	ロケット
騎士	ナイト
騎士	騎士
騎士	ナイツ
指揮	指揮
指揮	コマンド
指揮	車掌
安排	整列
安排	編曲
安排	配置
象	ゾウ
明星	スターズ
明星	恒星
明星	スター
爆發	アウトブレイク
現任	プレゼント
現任	現在
匈牙利	ハンガリー
羊	ヒツジ
羊	ヤギ
河流	河川
出席	出席
改造	リフォーム
改造	イメチェン
車輛	乗り物
車輛	車両
京都	京都
五月	メイ
五月	五月
上午	モーニング
河北	河北省
使用者	ユーザ
使用者	ユーザー
鄧	トウ
機械	マシーン
機械	機械
機械	マシン
爭議	申し立て
爭議	論争
爭議	紛争
發射	打ち上げ
發射	起動
首先	ファースト
首先	最初
入侵	侵略
入侵	侵攻
同盟	リーグ
同盟	アライアンス
轉換	コンバート
轉換	変換
轉換	変形
唱	歌う
蕭	ショウ
蕭	ショー
血	血液
血	ブラッド
努力	努力
努力	取り組み
事情	モノ
事情	物事
事情	もの
監督	監視
監督	監督
軌道	軌道
軌道	トラック
今日	トゥデイ
今日	今日
狼	ウルフ
狼	オオカミ
尼斯	ニース
尼斯	素敵
尼斯	ナイス
部門	学科
部門	部署
部門	セクター
部門	部門
汗	カーン
汗	汗だく
汗	ハーン
南極	南極大陸
南極	南極
綜合	合成
廣播	放送
廣播	ブロードキャスト
廣播	配信
廣播	ラジオ
比例	比例
比例	比率
比例	割合
偶像	アイドル
偶像	偶像
側	サイド
父母	両親
父母	保護者
鍾	クロック
鍾	時計
飛行	飛行
飛行	フライング
飛行	飛ぶ
飛行	フライト
統一	統一
大獎	大当たり
恢復	修復
恢復	回復
恢復	回収
恢復	復元
恢復	再開
恢復	リカバリ
恢復	維新
綠	グリーン
綠	みどり
綠	緑色
設施	設備
設施	施設
設施	インストール
退役	退職
退役	引退
框	フレーム
框	ボックス
住宅	居所
住宅	住宅地
住宅	邸宅
住宅	住宅
住宅	住居
伊朗	イラン
圍	ワイ
莊	銀行員
混合	ミックス
混合	ブレンド
混合	ミキシング
混合	混ぜる
混合	混合
混合	ハイブリッド
殺	キル
山脈	山脈
山脈	山地
山脈	範囲
山脈	レンジ
上海市	上海市
上海市	上海
莫斯科	モスクワ
食品	料理
食品	食材
食品	食品
食品	食べ物
王國	王国
王國	レルム
希臘	ギリシャ
深度	奥行き
深度	深み
深度	深度
高雄	高雄市
法案	ビル
法案	紙幣
有限	限定
有限	有限
學者	学者
戰士	戦士
戰士	兵隊
戰士	兵士
湖北	湖北省
合成	複合
合成	コンポジット
合成	合成
四十	四十
基因	ジーン
基因	遺伝子
罪	シン
鳥	バード
鳥	鳥類
教練	コーチング
教練	コーチ
展示	ショーケース
展示	ディスプレイ
展示	ショー
槍	ガン
只要	ジャスト
只要	ちょうど
只要	ただ
義大利	イタリアン
義大利	イタリア
讀	読書
讀	読み込み
讀	読み取り
讀	読む
讀	読み
很快	まもなく
很快	もうすぐ
成都	成都市
成都	成都
追	チェイス
厚	厚い
厚	太い
拍	シュート
藩	ドメイン
部落	部族
圓	丸い
圓	ラウンド
圓	サークル
幫助	ヘルプ
教會	教会堂
教會	教会
教會	チャーチ
連結	コネクト
連結	接続
連結	リンク
設定	セット
設定	設定
設定	セッティング
設定	集合
記者	リポーター
記者	レポーター
記者	ジャーナリスト
數量	数量
星系	銀河系
星系	銀河
鳳	フェニックス
假	フェイク
假	虚偽
感	センス
感	感覚
留下	滞在
留下	ステイ
方便	便利
領	首輪
程式	演目
程式	プログラム
校長	校長
校長	元本
挪威	ノルウェー
步	ステップ
所在地	場所
所在地	ロケーション
所在地	所在地
解釋	説明
解釋	解説
刀	ナイフ
批評	批評
批評	評論
批評	批判
太子	プリンス
檔案	ファイル
檔案	書庫
檔案	アーカイブ
爵士	ジャズ
狗	イヌ
國會	国会
國會	議会
病毒	ウイルス
病毒	ウィルス
富士	ふじ
富士	フジ
阿根廷	アルゼンチン
計算	算定
計算	計算
計算	コンピューティング
對手	相手方
對手	ライバル
對手	相手
湯	スープ
一天	一日
艦隊	フリート
艦隊	艦隊
廣州	広州
錢	貨幣
錢	金銭
錢	マネー
錢	お金
碑	石碑
碑	記念碑
碑	モニュメント
晉	ジン
廣東	広東
棒球	ベースボール
棒球	野球
中立	ニュートラル
中立	中性
質量	クオリティ
質量	画質
質量	ミサ
質量	質量
質量	品質
化石	化石
持有	占有
持有	ホールディングス
持有	持株
持有	所持
理解	理解
波蘭	ポーランド
美洲	アメリカ
恆星	スターズ
恆星	恒星
恆星	スター
部長	公使
部長	大臣
挑戰	挑戦
挑戰	チャレンジ
挑戰	課題
東方	イースト
東方	東部
東方	オリエンタル
東方	オリエント
羽毛球	バドミントン
幾乎	ほぼ
幾乎	ほとんど
阿拉	アッラーフ
阿拉	アラー
消失	消える
例子	実例
例子	用例
司令	司令官
月球	ムーン
地圖	マップ
地圖	地図
杭州	杭州市
杭州	杭州
結婚	婚姻
結婚	結婚
引用	引用
請求	請求
請求	リクエスト
原子	アトミック
原子	原子
菲律賓	フィリピン
觀眾	オーディエンス
觀眾	観客
進攻	攻撃
進攻	進撃
珊	太陽
貓	ねこ
貓	ネコ
貓	キャッツ
吸引	アトラクション
測試	テスト
專業	特製
專業	プロフェッショナル
專業	職業
旅遊	観光
旅遊	旅行
旅遊	ツーリスト
旅遊	ツアー
石油	石油
石油	オイル
浪	ウェーブ
浪	波動
需求	ニーズ
需求	需要
需求	催告
內部	インテリア
內部	内面
內部	内装
內部	インサイド
內部	内部
失	ロスト
集合	集める
方言	方言
日文	日本人
日文	ジャパニーズ
日文	日本語
特里	テリー
犯罪	犯罪
君主	モナーク
君主	主権
君主	君主
君主	君主制
公爵	デューク
公爵	公爵
降低	減らす
私人	非公開
私人	プライベート
軟體	ソフトウェア
軟體	ソフトウエア
每日	デイリー
每日	日常
每日	毎日
拒絕	否定
拒絕	拒絶
拒絕	拒否
拒絕	却下
拒絕	辞退
原始	オリジナル
原始	プリミティブ
警告	警告
警告	警報
俱樂部	クラブ
俱樂部	棍棒
敗	敗北
貿易	取引
貿易	トレード
貿易	貿易
減少	減らす
減少	却下
減少	辞退
減少	拒否
知名度	視界
身體	ボディ
身體	身体
身體	本体
身體	本文
硬	一生懸命
硬	ハード
硬	難しい
碼頭	桟橋
碼頭	ドック
碼頭	ドッキング
碼頭	埠頭
女主角	女優
女主角	俳優
女主角	ヒロイン
恐怖	ホラー
柴油	ディーゼル
肖	ショウ
肖	ショー
園	庭園
風格	スタイル
這裡	ここ
勝利	勝つ
勝利	勝ち
勝利	トライアンフ
勝利	勝利
女王	クイーン
女王	女王
天皇	エンペラー
天皇	天皇
天皇	皇帝
每天	日常
每天	毎日
邀請	招聘
邀請	招待
傳說	伝説
變化	変更
舞台	アリーナ
舞台	アレーナ
舞台	ステージ
舞台	舞台
食物	料理
食物	食品
食物	食べ物
延伸	延長
延伸	拡張
延伸	内線
延伸	ストレッチ
廠	植物
廠	プラント
廠	工場
推	押す
推	プッシュ
意外	アクシデント
意外	事故
羽	フェザー
羽	羽毛
羽	羽根
前鋒	ヴァンガード
前鋒	ストライカー
收費	課金
收費	チャージ
收費	充電
收費	料金
收費	手数料
巷	レーン
巷	裏通り
巷	路地
巷	車線
圖書館	図書館
圖書館	ライブラリ
突破	速報
人生	ライフ
人生	生命
人生	生活
人生	人生
通用	共通
通用	ジェネリック
修正	改正
天文	天文学
原創	オリジナル
地鐵	地下鉄
地鐵	メトロ
先後	歴代
瓜	メロン
瓜	ウリ
司法	正義
花園	庭園
玄	ヒョン
實驗	実験
課程	コース
課程	カリキュラム
估計	推定
估計	見積もり
箱	ボックス
規劃	企画
規劃	プランニング
規劃	計画
配置	設定
配置	構成
後衛	ディフェンダー
國內	国内
柴	チャイ
個月	月間
現場	現場
現場	シーン
現場	場面
尤其是	特に
十字	十字
十字	クロス
十字	十字架
